,game_id,age_rating
0,115278,25494
1,120268,25488
2,105049,25485
3,113344,25457
4,19164,25428
5,19164,25841
6,1877,6032
7,115653,24208
8,36198,0
9,96217,25528
10,96217,25529
11,22422,0
12,26845,24721
13,55038,25495
14,22387,0
15,22472,9372
16,22490,23490
17,68049,0
18,26574,0
19,55190,25530
20,114286,25533
21,114286,25534
22,79134,0
23,26145,25535
24,26145,25536
25,80916,0
26,16309,0
27,25311,0
28,27092,25267
29,27092,25437
30,106987,0
31,17130,0
32,111130,0
33,38967,0
34,114455,0
35,56033,22565
36,55199,23950
37,55984,0
38,37419,0
39,19785,0
40,18623,8367
41,35994,0
42,28465,0
43,9789,0
44,67166,20787
45,67166,20788
46,28168,23541
47,28309,22609
48,23733,0
49,110737,0
50,24426,23476
51,24426,23477
52,36553,0
53,41895,0
54,22426,0
55,19404,0
56,3772,25537
57,3772,25538
58,18225,25539
59,18225,25540
60,113895,0
61,19564,26266
62,19564,26348
63,81680,0
64,23345,0
65,55036,14040
66,29173,0
67,117665,0
68,28070,23157
69,28070,23158
70,115737,24233
71,115737,24234
72,25646,13999
73,113360,23715
74,25222,0
75,116353,0
76,55590,0
77,105269,22851
78,105269,22852
79,109339,0
80,31515,0
81,37138,12700
82,26163,0
83,54775,23160
84,54775,23161
85,47823,25541
86,47823,25542
87,55029,0
88,80809,20018
89,80809,20019
90,116681,24445
91,26950,24853
92,22425,0
93,14394,0
94,1942,9776
95,1942,11875
96,17379,0
97,103232,0
98,111187,0
99,44242,0
100,59218,0
101,13200,15813
102,20342,10718
103,20342,10719
104,660,15371
105,19150,0
106,1020,990
107,1020,12749
108,114287,0
109,11270,0
110,10039,0
111,55173,22680
112,17548,0
113,29348,0
114,103329,25543
115,103329,26213
116,17111,0
117,81249,0
118,119156,0
119,15830,7825
120,15830,7826
121,3222,23335
122,102584,0
123,10032,25545
124,102163,0
125,19809,0
126,10776,0
127,26226,21049
128,26226,21050
129,119171,0
130,9938,23119
131,46745,0
132,55092,21036
133,55092,21037
134,7027,4033
135,13196,0
136,8422,0
137,2365,0
138,33153,0
139,102057,24871
140,103303,23542
141,28751,0
142,9243,6304
143,7615,0
144,13189,7633
145,106992,0
146,24765,25546
147,24765,25547
148,36258,0
149,36346,0
150,78511,0
151,65827,0
152,113114,26209
153,113114,26210
154,564,6358
155,564,11487
156,9278,15035
157,22469,9369
158,18011,24717
159,54842,21056
160,54842,24268
161,78550,25548
162,78550,25549
163,19808,0
164,107318,0
165,103301,25187
166,99118,23126
167,22423,0
168,51945,0
169,34155,0
170,3700,4422
171,3700,12789
172,8773,6280
173,8773,6281
174,19561,23943
175,105011,0
176,10297,12208
177,22470,9370
178,34823,0
179,119177,26292
180,119177,26293
181,119656,0
182,19817,0
183,27266,0
184,11646,12043
185,11646,12044
186,18869,25550
187,18869,25551
188,19560,23747
189,19560,23748
190,27725,21775
191,10388,0
192,75900,0
193,9727,7579
194,9727,15986
195,22486,0
196,55689,0
197,30245,0
198,25076,23550
199,25076,26094
200,4755,8637
201,4755,8638
202,4755,8639
203,35371,0
204,103292,25260
205,5647,6477
206,5647,25967
207,51577,0
208,28277,0
209,11169,0
210,119422,0
211,76263,0
212,26223,0
213,12328,0
214,37016,25552
215,37016,25553
216,57372,0
217,1006,33
218,59427,0
219,20776,18508
220,20776,18509
221,89597,0
222,30229,0
223,25300,0
224,31480,0
225,15536,0
226,13210,13785
227,54678,0
228,3225,9068
229,3225,14051
230,103168,24898
231,40477,23949
232,7346,10942
233,7346,12352
234,24620,0
235,26563,0
236,14593,15380
237,14593,23050
238,19301,23556
239,19301,23557
240,103298,25426
241,9058,6227
242,9058,25284
243,85740,0
244,17519,0
245,26855,25554
246,26855,25555
247,533,59
248,533,12197
249,116530,0
250,106805,0
251,11156,13157
252,11156,21310
253,26192,23539
254,18182,23980
255,43130,0
256,848,8753
257,36269,0
258,236,0
259,2031,6073
260,2031,12751
261,28182,24577
262,28113,12046
263,28113,13894
264,5867,4687
265,5867,6082
266,11666,0
267,11582,10850
268,27301,0
269,9927,16076
270,9927,23140
271,77745,0
272,19565,23008
273,19565,23737
274,119207,0
275,22477,22322
276,1593,6643
277,1593,11242
278,23651,0
279,87622,22054
280,113402,0
281,19441,13142
282,3188,11962
283,3188,11963
284,121,8470
285,121,12393
286,27419,23051
287,27419,23052
288,95340,21679
289,17906,15013
290,74368,0
291,1906,9135
292,1906,23091
293,19075,0
294,68286,23975
295,18167,16199
296,18167,16200
297,44076,15659
298,44076,15660
299,3025,4804
300,3025,11143
301,115735,24229
302,115735,24230
303,78389,0
304,55282,0
305,101608,22377
306,13660,0
307,113113,25556
308,10964,12552
309,10964,12553
310,1342,11219
311,1342,25176
312,1009,11042
313,1009,23999
314,87507,0
315,117717,0
316,49414,0
317,7331,10876
318,7331,10877
319,43097,0
320,8968,6189
321,28794,25557
322,28794,25558
323,77529,24102
324,20329,22563
325,3042,12803
326,3042,12804
327,109129,0
328,19531,12550
329,19531,12551
330,9538,18980
331,115280,24872
332,43367,24147
333,17613,0
334,37382,24209
335,27209,0
336,108778,0
337,28010,24062
338,22471,9371
339,1905,12678
340,1905,12679
341,55888,0
342,22482,0
343,77334,0
344,571,11580
345,112416,0
346,59048,0
347,51991,0
348,1802,8772
349,1802,8773
350,119199,0
351,112191,0
352,41,3891
353,41,11129
354,118218,24668
355,11423,15352
356,11423,15353
357,3277,0
358,19376,0
359,16992,14939
360,16992,19486
361,78632,0
362,19133,0
363,89550,0
364,19698,0
365,1244,12720
366,1244,12721
367,9835,0
368,35463,0
369,113201,23692
370,113201,23693
371,115283,25490
372,115283,25491
373,62151,25559
374,62151,25560
375,8746,6055
376,8746,6056
377,28325,0
378,57187,0
379,11171,11298
380,11171,11299
381,115276,24567
382,112589,0
383,28129,0
384,36926,21047
385,36926,21048
386,11231,7004
387,11231,7005
388,6985,0
389,11679,0
390,9552,0
391,9477,7061
392,9477,24447
393,9648,6563
394,2939,7907
395,2939,20025
396,732,1444
397,732,5369
398,77884,0
399,7406,0
400,118871,24762
401,118871,24763
402,59173,0
403,90099,23929
404,90099,26026
405,7350,22214
406,2002,0
407,9498,15329
408,2040,19580
409,1887,4990
410,1887,11069
411,117149,0
412,10239,14135
413,10239,14136
414,3155,1222
415,3155,13032
416,103328,22498
417,103328,22499
418,25921,11260
419,25921,11261
420,9730,9481
421,9730,9482
422,87975,0
423,107614,23580
424,472,11842
425,472,11843
426,9806,9534
427,34024,0
428,28552,12663
429,26870,0
430,10760,24099
431,14362,8886
432,14362,22352
433,7342,19878
434,7342,25169
435,733,1342
436,733,21348
437,7276,7186
438,7276,10634
439,18290,0
440,37001,0
441,32457,0
442,61985,0
443,113636,0
444,76877,0
445,57296,0
446,12517,12661
447,107218,0
448,95776,0
449,44178,0
450,68287,24262
451,68287,24263
452,25905,0
453,103281,25253
454,960,161
455,960,4510
456,18918,25404
457,21564,0
458,58075,22139
459,111253,25561
460,7351,8424
461,7351,13013
462,1372,11187
463,1372,11188
464,115741,24239
465,115741,24240
466,76882,23924
467,76882,24520
468,1985,11800
469,103054,23274
470,7344,8464
471,7344,23619
472,32510,0
473,15851,0
474,11737,24820
475,11737,24821
476,10243,0
477,113109,24529
478,26758,15861
479,26758,15862
480,75242,24516
481,75242,24517
482,26658,0
483,51213,0
484,103369,25562
485,20331,25563
486,20331,25564
487,90101,23530
488,90965,0
489,119119,0
490,19085,10268
491,115740,24237
492,115740,24238
493,18841,0
494,8559,8882
495,8559,8883
496,116559,0
497,115301,0
498,7599,6436
499,7599,19847
500,101573,22265
501,27378,25051
502,9760,0
503,1352,7111
504,1352,21585
505,112754,0
506,18020,0
507,114285,25199
508,43165,14211
509,43165,24118
510,36977,0
511,75797,0
512,19249,0
513,662,5280
514,662,6489
515,110503,25566
516,110503,25567
517,27316,25565
518,65503,0
519,58958,0
520,9834,18566
521,11668,23930
522,11668,23931
523,87485,0
524,19542,0
525,114795,24085
526,114795,24585
527,106279,0
528,19541,25568
529,19541,25569
530,7364,0
531,119507,25414
532,119507,26018
533,1121,6517
534,1121,13301
535,103295,0
536,8744,6051
537,8744,25242
538,60044,0
539,55077,0
540,538,11221
541,538,11222
542,501,4944
543,501,15699
544,117497,0
545,29032,0
546,5601,8460
547,5601,11293
548,9856,0
549,19083,20664
550,11367,25940
551,3019,0
552,11208,20972
553,107169,0
554,22483,0
555,11118,21562
556,11118,21563
557,17000,14559
558,17000,14560
559,68855,0
560,90788,0
561,11292,7048
562,1377,27
563,1377,11959
564,471,8875
565,471,8876
566,89132,0
567,87514,22005
568,63933,0
569,77597,0
570,16391,0
571,109274,24934
572,19549,13803
573,76253,24278
574,1341,4566
575,1341,11390
576,1341,11391
577,75240,25376
578,38030,0
579,7386,7382
580,7386,12793
581,832,1110
582,832,19910
583,15409,0
584,353,0
585,102420,0
586,7046,0
587,359,14065
588,359,14066
589,109292,0
590,11162,10960
591,11162,20842
592,2918,6453
593,2918,6454
594,241,419
595,22485,0
596,4843,21038
597,4843,21039
598,7334,6468
599,7334,24580
600,17446,25570
601,80382,0
602,7213,4163
603,5589,8461
604,5589,8462
605,18981,0
606,21642,11346
607,21642,11347
608,16806,0
609,79999,0
610,28540,14240
611,28540,21379
612,120201,0
613,36732,12621
614,28472,12376
615,3278,0
616,1011,96
617,1011,12190
618,119305,25259
619,116352,0
620,36815,0
621,96239,0
622,22439,13899
623,22439,13900
624,7843,25571
625,7843,25572
626,5503,11621
627,5503,11622
628,11233,13075
629,11233,13076
630,74701,26114
631,68271,0
632,16287,23069
633,16287,23070
634,7323,9162
635,7323,11319
636,233,828
637,233,11281
638,17479,0
639,64061,0
640,19686,23806
641,19686,24266
642,16999,22048
643,115284,24883
644,109606,0
645,102868,0
646,22690,0
647,587,6376
648,587,23114
649,101211,25573
650,101211,25574
651,11550,12499
652,11550,12500
653,26900,0
